[2024-09-06T13:51:01.863+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-06T13:51:01.878+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: async_flow.polling_task manual__2024-09-06T13:51:01.227845+00:00 [queued]>
[2024-09-06T13:51:01.887+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: async_flow.polling_task manual__2024-09-06T13:51:01.227845+00:00 [queued]>
[2024-09-06T13:51:01.888+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2024-09-06T13:51:01.896+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): polling_task> on 2024-09-06 13:51:01.227845+00:00
[2024-09-06T13:51:01.900+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=85) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-06T13:51:01.901+0000] {standard_task_runner.py:72} INFO - Started process 88 to run task
[2024-09-06T13:51:01.901+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'async_flow', 'polling_task', 'manual__2024-09-06T13:51:01.227845+00:00', '--job-id', '97', '--raw', '--subdir', 'DAGS_FOLDER/dags_async_flow.py', '--cfg-path', '/tmp/tmpyyyw_o6m']
[2024-09-06T13:51:01.902+0000] {standard_task_runner.py:105} INFO - Job 97: Subtask polling_task
[2024-09-06T13:51:01.929+0000] {task_command.py:467} INFO - Running <TaskInstance: async_flow.polling_task manual__2024-09-06T13:51:01.227845+00:00 [running]> on host a3a5f1897683
[2024-09-06T13:51:01.976+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='async_flow' AIRFLOW_CTX_TASK_ID='polling_task' AIRFLOW_CTX_EXECUTION_DATE='2024-09-06T13:51:01.227845+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-06T13:51:01.227845+00:00'
[2024-09-06T13:51:01.976+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-09-06T13:51:01.990+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:04.005+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:06.011+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:08.021+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:10.027+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:12.035+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:14.040+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:16.050+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:18.061+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:20.067+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:22.073+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:24.079+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:26.086+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:28.091+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:30.102+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:32.107+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:34.116+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:36.126+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:38.137+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:40.153+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:42.166+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:44.178+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:46.185+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:48.190+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:50.199+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:52.205+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:51:54.220+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
