[2024-09-06T16:14:22.589+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-06T16:14:22.598+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:14:21.604967+00:00 [queued]>
[2024-09-06T16:14:22.603+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:14:21.604967+00:00 [queued]>
[2024-09-06T16:14:22.603+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 4
[2024-09-06T16:14:22.610+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): backfill_number_of_cancelled_candidates> on 2024-09-06 16:14:21.604967+00:00
[2024-09-06T16:14:22.614+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2042) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-06T16:14:22.615+0000] {standard_task_runner.py:72} INFO - Started process 2043 to run task
[2024-09-06T16:14:22.616+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'async_flow', 'backfill_number_of_cancelled_candidates', 'manual__2024-09-06T16:14:21.604967+00:00', '--job-id', '112', '--raw', '--subdir', 'DAGS_FOLDER/dags_async_flow.py', '--cfg-path', '/tmp/tmp4zrg5s0f']
[2024-09-06T16:14:22.617+0000] {standard_task_runner.py:105} INFO - Job 112: Subtask backfill_number_of_cancelled_candidates
[2024-09-06T16:14:22.640+0000] {task_command.py:467} INFO - Running <TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:14:21.604967+00:00 [running]> on host a3a5f1897683
[2024-09-06T16:14:22.678+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='async_flow' AIRFLOW_CTX_TASK_ID='backfill_number_of_cancelled_candidates' AIRFLOW_CTX_EXECUTION_DATE='2024-09-06T16:14:21.604967+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-06T16:14:21.604967+00:00'
[2024-09-06T16:14:22.679+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-09-06T16:14:22.696+0000] {dags_async_flow.py:85} INFO - Total number of records to update: 5000
[2024-09-06T16:14:22.962+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81aa: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.963+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81aa: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.963+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81aa: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.963+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81aa: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.971+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81ac: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.973+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81ae: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.974+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81b0: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.974+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81b2: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.974+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81b4: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.975+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81b6: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.975+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81b8: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
[2024-09-06T16:14:22.975+0000] {dags_async_flow.py:54} ERROR - Error updating 66db04acbf0a19d8769e81ba: Cannot connect to host localhost:3000 ssl:default [Connect call failed ('127.0.0.1', 3000)]
