[2024-09-06T16:56:48.058+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-06T16:56:48.067+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:56:47.627467+00:00 [queued]>
[2024-09-06T16:56:48.071+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:56:47.627467+00:00 [queued]>
[2024-09-06T16:56:48.072+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 4
[2024-09-06T16:56:48.078+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): backfill_number_of_cancelled_candidates> on 2024-09-06 16:56:47.627467+00:00
[2024-09-06T16:56:48.081+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2677) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-06T16:56:48.082+0000] {standard_task_runner.py:72} INFO - Started process 2678 to run task
[2024-09-06T16:56:48.083+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'async_flow', 'backfill_number_of_cancelled_candidates', 'manual__2024-09-06T16:56:47.627467+00:00', '--job-id', '121', '--raw', '--subdir', 'DAGS_FOLDER/dags_async_flow.py', '--cfg-path', '/tmp/tmp0gpt0osc']
[2024-09-06T16:56:48.084+0000] {standard_task_runner.py:105} INFO - Job 121: Subtask backfill_number_of_cancelled_candidates
[2024-09-06T16:56:48.110+0000] {task_command.py:467} INFO - Running <TaskInstance: async_flow.backfill_number_of_cancelled_candidates manual__2024-09-06T16:56:47.627467+00:00 [running]> on host a3a5f1897683
[2024-09-06T16:56:48.154+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='async_flow' AIRFLOW_CTX_TASK_ID='backfill_number_of_cancelled_candidates' AIRFLOW_CTX_EXECUTION_DATE='2024-09-06T16:56:47.627467+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-06T16:56:47.627467+00:00'
[2024-09-06T16:56:48.155+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-09-06T16:56:48.173+0000] {task_backfill_number_of_cancelled_candidates.py:8} INFO - Total number of records to update: 4800
[2024-09-06T16:56:48.200+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b64
[2024-09-06T16:56:48.209+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b66
[2024-09-06T16:56:48.215+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b68
[2024-09-06T16:56:48.221+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b6a
[2024-09-06T16:56:48.226+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b6c
[2024-09-06T16:56:48.232+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b6e
[2024-09-06T16:56:48.237+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b70
[2024-09-06T16:56:48.242+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b72
[2024-09-06T16:56:48.247+0000] {core_li.py:23} INFO - Successfully updated job requisition 66db04aabf0a19d8769e5b74
